Plant,Time,Daily yield(kWh),Real-time power(kW),Daily feed-in energy(kWh),Energy purchased today(kWh)
PlantID OwnerID,20250512,6.1,3.074,,
PlantID OwnerID,20250513,4.3,1.179,,
PlantID OwnerID,20250514,10.1,3.822,,
PlantID OwnerID,20250515,0,0,,
PlantID OwnerID,20250516,4.9,3.113,,
PlantID OwnerID,20250517,15.6,3.896,,
PlantID OwnerID,20250518,12.3,3.381,,
PlantID OwnerID,20250519,11.4,3.339,,
PlantID OwnerID,20250520,9.7,3.149,,
PlantID OwnerID,20250521,9.5,2.536,,
PlantID OwnerID,20250522,5.8,1.708,,
PlantID OwnerID,20250523,0.5,0.708,,
PlantID OwnerID,20250524,5.6,1.642,,
PlantID OwnerID,20250525,5.9,2.009,,
PlantID OwnerID,20250526,5.8,1.977,,
PlantID OwnerID,20250527,1.7,0.746,,
PlantID OwnerID,20250528,9.6,3.321,,
PlantID OwnerID,20250529,14.7,3.088,,
PlantID OwnerID,20250530,16.7,3.27,,
PlantID OwnerID,20250531,5.5,2.74,,
PlantID OwnerID,20250601,9.4,0.705,,
